library_id,library_name,pattern,interaction_category,coder1_support,coder2_support
5,Apache ECharts,Connected Ring,Focus+Context,Partial,Partial
5,Apache ECharts,Connected Ring,Multiple Views,Partial,Partial
5,Apache ECharts,Connected Ring,Interaction with Dimensions,Partial,Partial
5,Apache ECharts,Connected Ring,Domain-Specific Methods,NA,NA
5,Apache ECharts,Disconnected Ring,Focus+Context,Partial,Partial
5,Apache ECharts,Disconnected Ring,Multiple Views,Partial,Partial
5,Apache ECharts,Disconnected Ring,Interaction with Dimensions,NA,NA
5,Apache ECharts,Disconnected Ring,Domain-Specific Methods,NA,NA
6,Nivo,Tree,Focus+Context,NA,NA
6,Nivo,Tree,Multiple Views,NA,NA
6,Nivo,Tree,Interaction with Dimensions,NA,NA
6,Nivo,Tree,Domain-Specific Methods,NA,NA
6,Nivo,Star,Focus+Context,Full,Full
6,Nivo,Star,Multiple Views,Partial,Partial
6,Nivo,Star,Interaction with Dimensions,Full,Full
6,Nivo,Star,Domain-Specific Methods,NA,NA
6,Nivo,Concentric,Focus+Context,Full,Full
6,Nivo,Concentric,Multiple Views,Partial,Partial
6,Nivo,Concentric,Interaction with Dimensions,Full,Full
6,Nivo,Concentric,Domain-Specific Methods,NA,NA
6,Nivo,Spiral,Focus+Context,NA,NA
6,Nivo,Spiral,Multiple Views,NA,NA
6,Nivo,Spiral,Interaction with Dimensions,NA,NA
6,Nivo,Spiral,Domain-Specific Methods,NA,NA
6,Nivo,Euler,Focus+Context,NA,NA
6,Nivo,Euler,Multiple Views,NA,NA
6,Nivo,Euler,Interaction with Dimensions,NA,NA
6,Nivo,Euler,Domain-Specific Methods,NA,NA
6,Nivo,Connected Ring,Focus+Context,NA,NA
6,Nivo,Connected Ring,Multiple Views,NA,NA
6,Nivo,Connected Ring,Interaction with Dimensions,NA,NA
6,Nivo,Connected Ring,Domain-Specific Methods,NA,NA
6,Nivo,Disconnected Ring,Focus+Context,NA,NA
6,Nivo,Disconnected Ring,Multiple Views,NA,NA
6,Nivo,Disconnected Ring,Interaction with Dimensions,NA,NA
6,Nivo,Disconnected Ring,Domain-Specific Methods,NA,NA
7,amCharts,Tree,Focus+Context,Partial,Full
7,amCharts,Tree,Multiple Views,Partial,Partial
7,amCharts,Tree,Interaction with Dimensions,Full,Full
7,amCharts,Tree,Domain-Specific Methods,NA,NA
7,amCharts,Star,Focus+Context,Partial,Partial
7,amCharts,Star,Multiple Views,Partial,Partial
7,amCharts,Star,Interaction with Dimensions,Partial,Partial
7,amCharts,Star,Domain-Specific Methods,NA,NA
7,amCharts,Concentric,Focus+Context,Full,Full
7,amCharts,Concentric,Multiple Views,Full,Partial
7,amCharts,Concentric,Interaction with Dimensions,Full,Full
7,amCharts,Concentric,Domain-Specific Methods,NA,NA
7,amCharts,Spiral,Focus+Context,NA,NA
7,amCharts,Spiral,Multiple Views,NA,NA
7,amCharts,Spiral,Interaction with Dimensions,NA,NA
7,amCharts,Spiral,Domain-Specific Methods,NA,NA
7,amCharts,Euler,Focus+Context,NA,NA
7,amCharts,Euler,Multiple Views,NA,NA
7,amCharts,Euler,Interaction with Dimensions,NA,NA
7,amCharts,Euler,Domain-Specific Methods,NA,NA
7,amCharts,Connected Ring,Focus+Context,NA,NA
7,amCharts,Connected Ring,Multiple Views,NA,NA
7,amCharts,Connected Ring,Interaction with Dimensions,NA,NA
7,amCharts,Connected Ring,Domain-Specific Methods,NA,NA
7,amCharts,Disconnected Ring,Focus+Context,NA,NA
7,amCharts,Disconnected Ring,Multiple Views,NA,NA
7,amCharts,Disconnected Ring,Interaction with Dimensions,NA,NA
7,amCharts,Disconnected Ring,Domain-Specific Methods,NA,NA
